title,accuracy,entity_accuracy,predictions,targets
Schnitt durch Terrasse,,{},[],[]
Maisonette / Sandspielplatz,,{},[],[]
Profilplan,,{},[],[]
Überbauung in der Au / ohne Titel,0.0,{'LOC': 0.0},[],"[Entity(""Au"", LOC, (18,20))]"
Bassin,,{},[],[]
Garten / Projekt,,{},[],[]
ohne Titel,,{},[],[]
"Schürmann, Herrn Dr. Richard / ohne Titel",0.0,{'PER': 0.0},[],"[Entity(""Schürmann, Herrn Dr. Richard"", PER, (0,28))]"
Wirkung bei verschiedenen Wassermengen,,{},[],[]
Umgebungsarbeiten,,{},[],[]
Umgebung,,{},[],[]
Töchterschule Riesbach / ohne Titel,0.0,{'LOC': 0.0},"[Entity(""Riesbach"", LOC, (14,22))]",[]
Bepflanzungsvorschlag,,{},[],[]
Badebassin / Schnitt Ansichten,,{},[],[]
"von Lick, Herrn",0.0,{'PER': 0.0},[],"[Entity(""von Lick, Herrn"", PER, (0,15))]"
Gestaltung der Umgebung,,{},[],[]
"Simmen-Schwyzer, Herrn H. / ohne Titel",0.0,{'PER': 0.0},[],"[Entity(""Simmen-Schwyzer, Herrn H."", PER, (0,25))]"
Planskizze,,{},[],[]
Pergolapfosten,,{},[],[]
Wettbewerb,,{},[],[]
Wasserschöpfbrunnen,,{},[],[]
Garage-Anbau,,{},[],[]
Gartengrundriss,,{},[],[]
Friedhof Wangen,1.0,{'LOC': 1.0},"[Entity(""Wangen"", LOC, (9,15))]","[Entity(""Wangen"", LOC, (9,15))]"
Wettbewerb / Sportanlage Situation,,{},[],[]
Conditorei - Tee Raum / Gartenterrasse / Grundriss,,{},[],[]
Umgebung 2. Bauetappe,,{},[],[]
Profile 2. Etappe,,{},[],[]
Umgebung,,{},[],[]
Kirche Bettlach,1.0,{'LOC': 1.0},"[Entity(""Bettlach"", LOC, (7,15))]","[Entity(""Bettlach"", LOC, (7,15))]"
Ausführung / ohne Titel,,{},[],[]
ohne Titel,,{},[],[]
Personalhaus,,{},[],[]
Farbgebung an Wänden,0.0,{'LOC': 0.0},"[Entity(""Wänden"", LOC, (14,20))]",[]
ohne Titel,,{},[],[]
Details öffentlicher Brunnen / ohne Titel,,{},[],[]
Sitzbänke aus Granit Detailplan,,{},[],[]
Eingangshof Detail,,{},[],[]
ohne Titel,,{},[],[]
Bepflanzung Hof,,{},[],[]
Aussenbeleuchtung,,{},[],[]
"Golfclub Patriziale, Ascona / ohne Titel",,{},[],[]
Cramer / diverse Negative,1.0,{'PER': 1.0},"[Entity(""Cramer"", PER, (0,6))]","[Entity(""Cramer"", PER, (0,6))]"
