title,accuracy,entity_accuracy,predictions,targets
Giesswannerbrunnen Friedhof Gränichen M. 1:10 Cramer Gartenarchitekten BSG. SWB. 22.8.61,0.16666666666666669,"{'LOC': 0.18181818181818182, 'MST': 0.0}","[Entity(""Giesswannerbrunnen"", LOC, (0,18)), Entity(""Friedhof"", LOC, (19,27)), Entity(""Gränichen"", LOC, (28,37)), Entity(""M."", LOC, (38,40)), Entity(""1:10"", LOC, (41,45)), Entity(""Cramer"", LOC, (46,52)), Entity(""Gartenarchitekten"", LOC, (53,70)), Entity(""BSG."", LOC, (71,75)), Entity(""SWB."", LOC, (76,80)), Entity(""22.8.61"", LOC, (81,88))]","[Entity(""Gränichen"", LOC, (28,37)), Entity(""1:10"", MST, (41,45))]"
"Herrn Dr. Zuellig Schloss Meienberg Masstab 1:200 E. Cramer, Gartenarchitekt BSG SWB Zürich",0.3529411764705882,"{'LOC': 0.0, 'CLT': 0.42857142857142855, 'MST': 0.0, 'CLOC': 0.0}","[Entity(""Herrn"", CLT, (0,5)), Entity(""Dr."", CLT, (6,9)), Entity(""Zuellig"", CLT, (10,17)), Entity(""Schloss"", CLT, (18,25)), Entity(""Meienberg"", CLT, (26,35)), Entity(""Masstab"", CLT, (36,43)), Entity(""1:200"", CLT, (44,49)), Entity(""E."", CLT, (50,52)), Entity(""Cramer,"", CLT, (53,60)), Entity(""Gartenarchitekt"", CLT, (61,76)), Entity(""BSG"", CLT, (77,80)), Entity(""SWB"", CLT, (81,84)), Entity(""Zürich"", CLT, (85,91))]","[Entity(""Herrn Dr. Zuellig"", CLT, (0,17)), Entity(""Meienberg"", LOC, (26,35)), Entity(""1:200"", MST, (44,49)), Entity(""Zürich"", CLOC, (85,91))]"
Sport + Erholungszentrum Tägerhard Wettingen Berechnungsunterlage 5.1,0.5,{'LOC': 0.5},"[Entity(""Sport"", LOC, (0,5)), Entity(""+"", LOC, (6,7)), Entity(""Erholungszentrum"", LOC, (8,24)), Entity(""Tägerhard"", LOC, (25,34)), Entity(""Wettingen"", LOC, (35,44)), Entity(""Berechnungsunterlage"", LOC, (45,65)), Entity(""5.1"", LOC, (66,69))]","[Entity(""Tägerhard Wettingen"", LOC, (25,44))]"
Umgebung Oberflächenentwässerung 1:10,0.0,{'MST': 0.0},[],"[Entity(""1:10"", MST, (33,37))]"
Herrn A. Wick-Isler Ing. Schnitte Bassin M 1:50 Pl Nr. 3138,0.6153846153846154,"{'CLT': 0.6666666666666667, 'MST': 0.0}","[Entity(""Herrn"", CLT, (0,5)), Entity(""A."", CLT, (6,8)), Entity(""Wick-Isler"", CLT, (9,19)), Entity(""Ing."", CLT, (20,24)), Entity(""Schnitte"", CLT, (25,33)), Entity(""Bassin"", CLT, (34,40)), Entity(""M"", CLT, (41,42)), Entity(""1:50"", CLT, (43,47)), Entity(""Pl"", CLT, (48,50)), Entity(""Nr."", CLT, (51,54)), Entity(""3138"", CLT, (55,59))]","[Entity(""Herrn A. Wick-Isler Ing."", CLT, (0,24)), Entity(""1:50"", MST, (43,47))]"
Detail Eisenhag + Tor 1:20 17.6.1968,0.0,"{'DATE': 0.0, 'MST': 0.0, 'CLOC': 0.0}","[Entity(""Detail"", CLOC, (0,6)), Entity(""Eisenhag"", CLOC, (7,15)), Entity(""+"", CLOC, (16,17)), Entity(""Tor"", CLOC, (18,21)), Entity(""1:20"", CLOC, (22,26)), Entity(""17.6.1968"", CLOC, (27,36))]","[Entity(""1:20"", MST, (22,26)), Entity(""17.6.1968"", DATE, (27,36))]"
Bruderholzspital Kt. Baselland,0.0,"{'LOC': 0.0, 'CLT': 0.0}","[Entity(""Bruderholzspital"", CLT, (0,16)), Entity(""Kt."", CLT, (17,20)), Entity(""Baselland"", CLT, (21,30))]","[Entity(""Kt. Baselland"", LOC, (17,30))]"
Umgebung Mst. 1:500,0.0,{'MST': 0.0},[],"[Entity(""1:500"", MST, (14,19))]"
Sport und Erholungszentrum Tägerhard Wettingen | Anpflanzplan 1:200 100-2,0.3636363636363636,"{'LOC': 0.39999999999999997, 'MST': 0.0}","[Entity(""Sport"", LOC, (0,5)), Entity(""und"", LOC, (6,9)), Entity(""Erholungszentrum"", LOC, (10,26)), Entity(""Tägerhard"", LOC, (27,36)), Entity(""Wettingen"", LOC, (37,46)), Entity(""|"", LOC, (47,48)), Entity(""Anpflanzplan"", LOC, (49,61)), Entity(""1:200"", LOC, (62,67)), Entity(""100-2"", LOC, (68,73))]","[Entity(""Tägerhard Wettingen"", LOC, (27,46)), Entity(""1:200"", MST, (62,67))]"
Herrn. Dr. Bein Oberwil Gartensitzplatz 1:50 Variante Holzpflästerung,0.5454545454545454,"{'LOC': 0.0, 'CLT': 0.6666666666666666, 'MST': 0.0}","[Entity(""Herrn."", CLT, (0,6)), Entity(""Dr."", CLT, (7,10)), Entity(""Bein"", CLT, (11,15)), Entity(""Oberwil"", CLT, (16,23)), Entity(""Gartensitzplatz"", CLT, (24,39)), Entity(""1:50"", CLT, (40,44)), Entity(""Variante"", CLT, (45,53)), Entity(""Holzpflästerung"", CLT, (54,69))]","[Entity(""Herrn. Dr. Bein"", CLT, (0,15)), Entity(""Oberwil"", LOC, (16,23)), Entity(""1:50"", MST, (40,44))]"
Herr und Frau Ungemach Schnitt-Ansicht 1:10 Sandsteinmauer,0.888888888888889,"{'CLT': 1.0, 'MST': 0.0}","[Entity(""Herr"", CLT, (0,4)), Entity(""und"", CLT, (5,8)), Entity(""Frau"", CLT, (9,13)), Entity(""Ungemach"", CLT, (14,22)), Entity(""Schnitt-Ansicht"", CLT, (23,38)), Entity(""1:10"", CLT, (39,43)), Entity(""Sandsteinmauer"", CLT, (44,58))]","[Entity(""Herr und Frau Ungemach"", CLT, (0,22)), Entity(""1:10"", MST, (39,43))]"
Garten Familie Steiner Neugestaltung Grundriss,0.0,{'CLT': 0.0},[],"[Entity(""Familie Steiner"", CLT, (7,22))]"
Garten Umgestaltung Studie 1:200,0.0,{'MST': 0.0},[],"[Entity(""1:200"", MST, (27,32))]"
55 - Garten Gertsch Dietikon Skizze 1:100 8.3.82 N.,0.0,"{'LOC': 0.0, 'CLT': 0.0, 'MST': 0.0, 'DATE': 0.0}",[],"[Entity(""Gertsch"", CLT, (12,19)), Entity(""Dietikon"", LOC, (20,28)), Entity(""1:100"", MST, (36,41)), Entity(""8.3.82"", DATE, (42,48))]"
Grundrissskizze Hrn. Dr. Mönchner Vogelperspektive 1:100,0.75,"{'CLT': 0.8571428571428571, 'MST': 0.0}","[Entity(""Grundrissskizze"", CLT, (0,15)), Entity(""Hrn."", CLT, (16,20)), Entity(""Dr."", CLT, (21,24)), Entity(""Mönchner"", CLT, (25,33)), Entity(""Vogelperspektive"", CLT, (34,50)), Entity(""1:100"", CLT, (51,56))]","[Entity(""Hrn. Dr. Mönchner"", CLT, (16,33)), Entity(""1:100"", MST, (51,56))]"
Heckenplan Grundstück Köster Mörschwil,0.3333333333333333,"{'LOC': 0.4, 'CLT': 0.0}","[Entity(""Heckenplan"", LOC, (0,10)), Entity(""Grundstück"", LOC, (11,21)), Entity(""Köster"", LOC, (22,28)), Entity(""Mörschwil"", LOC, (29,38))]","[Entity(""Köster"", CLT, (22,28)), Entity(""Mörschwil"", LOC, (29,38))]"
